Home Lang,Number of Records,Snap Dat,Survey Year,Wh Stdt Key
Hindi,1,23/12/2020 12:00:00 AM,2018,111514
Thai,1,23/12/2020 12:00:00 AM,2018,111691
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111808
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111830
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111914
English,1,23/12/2020 12:00:00 AM,2018,111915
Chinese,1,23/12/2020 12:00:00 AM,2018,111962
Not Applicable,1,23/12/2020 12:00:00 AM,2018,111994
English,1,23/12/2020 12:00:00 AM,2018,112037
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112240
Chinese,1,23/12/2020 12:00:00 AM,2018,112241
Chinese,1,23/12/2020 12:00:00 AM,2018,112242
English,1,23/12/2020 12:00:00 AM,2018,112243
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112285
English,1,23/12/2020 12:00:00 AM,2018,112298
Chinese,1,23/12/2020 12:00:00 AM,2018,112299
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112307
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112309
English,1,23/12/2020 12:00:00 AM,2018,112310
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112311
Chinese,1,23/12/2020 12:00:00 AM,2018,112448
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112960
Not Applicable,1,23/12/2020 12:00:00 AM,2018,112967
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114808
Japanese,1,23/12/2020 12:00:00 AM,2018,114874
Korean,1,23/12/2020 12:00:00 AM,2018,114876
Chinese,1,23/12/2020 12:00:00 AM,2018,114884
Korean,1,23/12/2020 12:00:00 AM,2018,114962
Hindi,1,23/12/2020 12:00:00 AM,2018,114964
English,1,23/12/2020 12:00:00 AM,2018,114973
English,1,23/12/2020 12:00:00 AM,2018,114976
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114977
English,1,23/12/2020 12:00:00 AM,2018,114979
English,1,23/12/2020 12:00:00 AM,2018,114980
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114981
Chinese,1,23/12/2020 12:00:00 AM,2018,114982
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114983
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114984
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114985
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114986
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114987
Chinese,1,23/12/2020 12:00:00 AM,2018,114988
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114989
Chinese,1,23/12/2020 12:00:00 AM,2018,114990
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114991
Chinese,1,23/12/2020 12:00:00 AM,2018,114992
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114993
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114994
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114995
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114996
Not Applicable,1,23/12/2020 12:00:00 AM,2018,114997
Japanese,1,23/12/2020 12:00:00 AM,2018,114998
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115000
Chinese,1,23/12/2020 12:00:00 AM,2018,115001
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115002
English,1,23/12/2020 12:00:00 AM,2018,115003
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115004
Chinese,1,23/12/2020 12:00:00 AM,2018,115005
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115006
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115007
Chinese,1,23/12/2020 12:00:00 AM,2018,115008
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115009
Chinese,1,23/12/2020 12:00:00 AM,2018,115010
English,1,23/12/2020 12:00:00 AM,2018,115011
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115012
Chinese,1,23/12/2020 12:00:00 AM,2018,115013
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115014
Chinese,1,23/12/2020 12:00:00 AM,2018,115015
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115017
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115018
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115019
Chinese,1,23/12/2020 12:00:00 AM,2018,115020
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115021
Chinese,1,23/12/2020 12:00:00 AM,2018,115022
Chinese,1,23/12/2020 12:00:00 AM,2018,115023
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115024
Chinese,1,23/12/2020 12:00:00 AM,2018,115025
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115026
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115027
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115028
Chinese,1,23/12/2020 12:00:00 AM,2018,115029
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115030
Chinese,1,23/12/2020 12:00:00 AM,2018,115031
Chinese,1,23/12/2020 12:00:00 AM,2018,115032
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115033
Chinese,1,23/12/2020 12:00:00 AM,2018,115034
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115035
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115036
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115038
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115039
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115040
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115041
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115042
Chinese,1,23/12/2020 12:00:00 AM,2018,115043
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115044
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115045
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115046
Chinese,1,23/12/2020 12:00:00 AM,2018,115048
Chinese,1,23/12/2020 12:00:00 AM,2018,115051
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115052
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115053
Chinese,1,23/12/2020 12:00:00 AM,2018,115054
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115055
Chinese,1,23/12/2020 12:00:00 AM,2018,115056
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115057
Chinese,1,23/12/2020 12:00:00 AM,2018,115058
Chinese,1,23/12/2020 12:00:00 AM,2018,115059
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115060
Chinese,1,23/12/2020 12:00:00 AM,2018,115061
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115062
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115063
Not Applicable,1,23/12/2020 12:00:00 AM,2018,25901
Not Applicable,1,23/12/2020 12:00:00 AM,2018,26056
Not Applicable,1,23/12/2020 12:00:00 AM,2018,26260
Chinese,1,23/12/2020 12:00:00 AM,2018,26660
Not Applicable,1,23/12/2020 12:00:00 AM,2018,26667
Not Applicable,1,23/12/2020 12:00:00 AM,2018,28462
Not Applicable,1,23/12/2020 12:00:00 AM,2018,31946
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32440
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32448
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32458
Chinese,1,23/12/2020 12:00:00 AM,2018,32471
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32476
Chinese,1,23/12/2020 12:00:00 AM,2018,32478
Chinese,1,23/12/2020 12:00:00 AM,2018,32499
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32511
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32512
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32519
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32536
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32568
Chinese,1,23/12/2020 12:00:00 AM,2018,32579
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32583
Chinese,1,23/12/2020 12:00:00 AM,2018,32594
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32598
Chinese,1,23/12/2020 12:00:00 AM,2018,32599
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32601
Chinese,1,23/12/2020 12:00:00 AM,2018,32605
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32611
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32616
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32621
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32634
Chinese,1,23/12/2020 12:00:00 AM,2018,32642
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32673
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32678
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32681
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32692
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32711
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32726
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32728
Chinese,1,23/12/2020 12:00:00 AM,2018,32733
Chinese,1,23/12/2020 12:00:00 AM,2018,32735
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32750
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32760
Chinese,1,23/12/2020 12:00:00 AM,2018,32771
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32781
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32783
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32788
Chinese,1,23/12/2020 12:00:00 AM,2018,32789
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32790
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32796
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32798
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32803
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32811
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32813
Chinese,1,23/12/2020 12:00:00 AM,2018,32820
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32827
Not Applicable,1,23/12/2020 12:00:00 AM,2018,32831
English,1,23/12/2020 12:00:00 AM,2018,36977
Chinese,1,23/12/2020 12:00:00 AM,2018,37925
Not Applicable,1,23/12/2020 12:00:00 AM,2018,37928
Chinese,1,23/12/2020 12:00:00 AM,2018,37975
Chinese,1,23/12/2020 12:00:00 AM,2018,37979
Not Applicable,1,23/12/2020 12:00:00 AM,2018,37981
Not Applicable,1,23/12/2020 12:00:00 AM,2018,82969
Not Applicable,1,23/12/2020 12:00:00 AM,2018,102573
Not Applicable,1,23/12/2020 12:00:00 AM,2018,102953
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103464
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103467
Hindi,1,23/12/2020 12:00:00 AM,2018,103480
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103492
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103500
Chinese,1,23/12/2020 12:00:00 AM,2018,103509
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103517
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103533
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103534
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103543
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103544
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103545
English,1,23/12/2020 12:00:00 AM,2018,103555
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103566
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103602
Korean,1,23/12/2020 12:00:00 AM,2018,103629
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103631
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103632
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103637
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103649
Chinese,1,23/12/2020 12:00:00 AM,2018,103665
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103667
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103669
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103686
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103687
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103689
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103695
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103713
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103718
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103727
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103734
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103740
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103759
Chinese,1,23/12/2020 12:00:00 AM,2018,103761
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103762
Chinese,1,23/12/2020 12:00:00 AM,2018,103784
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103807
Not Applicable,1,23/12/2020 12:00:00 AM,2018,103811
English,1,23/12/2020 12:00:00 AM,2018,103819
Not Applicable,1,23/12/2020 12:00:00 AM,2018,104039
English,1,23/12/2020 12:00:00 AM,2018,104442
Not Applicable,1,23/12/2020 12:00:00 AM,2018,106836
Not Applicable,1,23/12/2020 12:00:00 AM,2018,107065
Chinese,1,23/12/2020 12:00:00 AM,2018,107192
Chinese,1,23/12/2020 12:00:00 AM,2018,107668
Not Applicable,1,23/12/2020 12:00:00 AM,2018,107673
Not Applicable,1,23/12/2020 12:00:00 AM,2018,107697
Not Applicable,1,23/12/2020 12:00:00 AM,2018,107940
Not Applicable,1,23/12/2020 12:00:00 AM,2018,108059
Not Applicable,1,23/12/2020 12:00:00 AM,2018,108105
Chinese,1,23/12/2020 12:00:00 AM,2018,108180
Chinese,1,23/12/2020 12:00:00 AM,2018,108418
Not Applicable,1,23/12/2020 12:00:00 AM,2018,108462
Not Applicable,1,23/12/2020 12:00:00 AM,2018,108885
Chinese,1,23/12/2020 12:00:00 AM,2018,108922
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115391
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115392
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115393
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115394
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115395
Chinese,1,23/12/2020 12:00:00 AM,2018,115396
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115397
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115398
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115399
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115400
Chinese,1,23/12/2020 12:00:00 AM,2018,115401
Chinese,1,23/12/2020 12:00:00 AM,2018,115402
Chinese,1,23/12/2020 12:00:00 AM,2018,115404
Chinese,1,23/12/2020 12:00:00 AM,2018,115405
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115406
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115407
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115408
Chinese,1,23/12/2020 12:00:00 AM,2018,115409
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115410
Other Asian and Oceanian,1,23/12/2020 12:00:00 AM,2018,115411
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115412
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115413
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115414
Chinese,1,23/12/2020 12:00:00 AM,2018,115415
Chinese,1,23/12/2020 12:00:00 AM,2018,115416
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115417
Chinese,1,23/12/2020 12:00:00 AM,2018,115418
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115419
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115420
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115421
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115422
Chinese,1,23/12/2020 12:00:00 AM,2018,115423
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115424
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115425
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115426
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115427
Chinese,1,23/12/2020 12:00:00 AM,2018,115428
Chinese,1,23/12/2020 12:00:00 AM,2018,115429
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115430
Chinese,1,23/12/2020 12:00:00 AM,2018,115431
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115432
Chinese,1,23/12/2020 12:00:00 AM,2018,115433
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115435
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115437
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115438
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115439
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115440
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115441
Chinese,1,23/12/2020 12:00:00 AM,2018,115442
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115443
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115444
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115445
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115446
Chinese,1,23/12/2020 12:00:00 AM,2018,115447
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115448
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115449
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115450
Chinese,1,23/12/2020 12:00:00 AM,2018,115451
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115452
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115454
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115455
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115456
Chinese,1,23/12/2020 12:00:00 AM,2018,115457
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115459
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115460
Chinese,1,23/12/2020 12:00:00 AM,2018,115461
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115462
Chinese,1,23/12/2020 12:00:00 AM,2018,115463
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115464
Chinese,1,23/12/2020 12:00:00 AM,2018,115465
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115466
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115467
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115469
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115470
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115471
Chinese,1,23/12/2020 12:00:00 AM,2018,115472
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115473
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115474
Chinese,1,23/12/2020 12:00:00 AM,2018,115475
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115476
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115477
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115478
English,1,23/12/2020 12:00:00 AM,2018,115479
Chinese,1,23/12/2020 12:00:00 AM,2018,115480
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115481
Chinese,1,23/12/2020 12:00:00 AM,2018,115482
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115483
Chinese,1,23/12/2020 12:00:00 AM,2018,115484
Chinese,1,23/12/2020 12:00:00 AM,2018,115485
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115486
Chinese,1,23/12/2020 12:00:00 AM,2018,115487
Chinese,1,23/12/2020 12:00:00 AM,2018,115488
Chinese,1,23/12/2020 12:00:00 AM,2018,115489
Chinese,1,23/12/2020 12:00:00 AM,2018,115490
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115491
Chinese,1,23/12/2020 12:00:00 AM,2018,115492
Chinese,1,23/12/2020 12:00:00 AM,2018,115493
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115494
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115495
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115496
Chinese,1,23/12/2020 12:00:00 AM,2018,115497
Not Applicable,1,23/12/2020 12:00:00 AM,2018,115498
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116071
Chinese,1,23/12/2020 12:00:00 AM,2018,116072
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116073
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116074
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116075
French,1,23/12/2020 12:00:00 AM,2018,116076
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116077
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116078
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116079
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116080
Chinese,1,23/12/2020 12:00:00 AM,2018,116081
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116082
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116083
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116084
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116085
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116086
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116087
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116088
Chinese,1,23/12/2020 12:00:00 AM,2018,116089
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116090
Chinese,1,23/12/2020 12:00:00 AM,2018,116091
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116092
Chinese,1,23/12/2020 12:00:00 AM,2018,116093
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116094
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116095
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116097
Chinese,1,23/12/2020 12:00:00 AM,2018,116098
Chinese,1,23/12/2020 12:00:00 AM,2018,116099
Chinese,1,23/12/2020 12:00:00 AM,2018,116100
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116101
Chinese,1,23/12/2020 12:00:00 AM,2018,116102
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116103
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116104
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116105
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116106
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116107
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116108
Chinese,1,23/12/2020 12:00:00 AM,2018,116109
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116110
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116111
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116112
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116113
Chinese,1,23/12/2020 12:00:00 AM,2018,116114
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116115
Chinese,1,23/12/2020 12:00:00 AM,2018,116116
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116117
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116118
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116119
Chinese,1,23/12/2020 12:00:00 AM,2018,116120
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116121
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116122
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116123
Chinese,1,23/12/2020 12:00:00 AM,2018,116125
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116126
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116127
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116128
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116129
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116130
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116131
Chinese,1,23/12/2020 12:00:00 AM,2018,116132
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116133
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116134
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116135
Chinese,1,23/12/2020 12:00:00 AM,2018,116136
Chinese,1,23/12/2020 12:00:00 AM,2018,116137
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116138
Chinese,1,23/12/2020 12:00:00 AM,2018,116139
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116140
Chinese,1,23/12/2020 12:00:00 AM,2018,116141
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116142
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116143
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116144
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116145
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116146
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116147
Chinese,1,23/12/2020 12:00:00 AM,2018,116148
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116149
Chinese,1,23/12/2020 12:00:00 AM,2018,116150
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116151
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116152
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116153
Chinese,1,23/12/2020 12:00:00 AM,2018,116154
Chinese,1,23/12/2020 12:00:00 AM,2018,116155
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116156
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116157
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116158
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116159
Chinese,1,23/12/2020 12:00:00 AM,2018,116160
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116161
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116162
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116163
Not Applicable,1,23/12/2020 12:00:00 AM,2018,116164
