District,Ethnicity,Fin Sup By Fam Sup Pct,Fin Sup By Fin Aids Pct,Fin Sup By Job Pct,Fin Sup By Oth Pct,Fin Sup By Per Sav Pct,Fin Sup By Schl Prize Pct,Have Own Desk At Home,Have Own Room At Home,High Edu Lvl Father,High Edu Lvl Mother,Mth Household Income,Nbr Of Household Member,Norm Travel Time,Number of Records,Place Of Birth,Religion,Residency,Snap Dat,Survey Year,Type Of Fam House,Wh Stdt Key,Work Exp,Year Of Resd In Hk
Yuen Long (inc. Tin Shui Wai),Chinese,100,0,0,0,0,0,No,No,Post-secondary education,University education,"HK$70,000 - HK$79,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116451,No experience at all,Since birth
Sha Tin,Chinese,50,45,0,0,5,0,Yes,No,Secondary education/ Matriculation,Primary education,"HK$20,000 - HK$29,999",5,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115904,Part-time job experience only,Since birth
Southern,N/A,50,0,40,0,10,0,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",4,180 - 240 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116717,Part-time job experience only,7 years or more
Yuen Long (inc. Tin Shui Wai),N/A,40,50,0,0,0,10,No,No,No formal education,Primary education,"HK$10,000 - HK$19,999",5,180 - 240 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,103669,No experience at all,7 years or more
Yau Tsim Mong,N/A,90,0,10,0,0,0,Yes,Yes,University education,Secondary education/ Matriculation,"HK$70,000 - HK$79,999",3,120 - 179 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110420,Part-time job experience only,7 years or more
Central & Western,N/A,40,40,10,0,5,5,No,No,University education,University education,"HK$30,000 - HK$39,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115126,Part-time job experience only,Since birth
Sham Shui Po,N/A,70,0,10,0,20,0,Yes,Yes,University education,University education,"HK$100,000 or above",4,60 - 119 minutes,1,HK,Catholic,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115395,Part-time job experience only,Since birth
Kwun Tong,N/A,100,0,0,0,0,0,Yes,Yes,University education,University education,Not applicable,4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115445,Part-time job experience only,Since birth
Sha Tin,N/A,80,0,10,0,10,0,Yes,Yes,University education,University education,"HK$70,000 - HK$79,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115194,Part-time job experience only,Since birth
Eastern,N/A,90,0,0,0,0,10,No,No,Post-secondary education,Post-secondary education,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115581,Part-time job experience only,Since birth
Kwai Tsing,N/A,70,0,30,0,0,0,No,No,Post-secondary education,Post-secondary education,"HK$50,000 - HK$59,999",2,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110928,Part-time job experience only,Since birth
"North (inc. Sheung Shui, Fanling, etc)",Chinese,100,0,0,0,0,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116789,Part-time job experience only,Since birth
Sham Shui Po,N/A,50,0,30,0,20,0,Yes,No,Secondary education/ Matriculation,University education,Not applicable,3,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),114984,Part-time job experience only,Since birth
Sham Shui Po,N/A,0,100,0,0,0,0,Yes,No,Primary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society sale flats (other than Home Ownership Scheme flats),116512,No experience at all,Since birth
Southern,N/A,70,0,20,0,10,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,116352,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),Chinese,20,15,20,10,20,15,Yes,Yes,University education,Secondary education/ Matriculation,"HK$60,000 - HK$69,999",4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116404,Part-time job experience only,Since birth
Kwai Tsing,N/A,50,0,50,0,0,0,Yes,No,University education,Post-secondary education,"HK$60,000 - HK$69,999",4,120 - 179 minutes,1,HK,Traditional Chinese Religion,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110319,Part-time job experience only,Since birth
Tuen Mun,N/A,90,0,5,0,5,0,Yes,Yes,Post-secondary education,Secondary education/ Matriculation,"HK$60,000 - HK$69,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115152,Part-time job experience only,Since birth
Sha Tin,N/A,85,0,15,0,0,0,Yes,Yes,University education,University education,"HK$100,000 or above",3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115594,Part-time job experience only,Since birth
Tuen Mun,N/A,20,30,20,5,15,10,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115595,Full-time job experience for less than one year,Since birth
Tsuen Wan,Nepalese,20,20,20,10,20,10,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,"HK$90,000 - HK$99,999",5,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115771,Part-time job experience only,Since birth
Sha Tin,Chinese,70,0,5,0,0,25,Yes,Yes,Post-secondary education,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",5,60 - 119 minutes,1,Chinese Mainland,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115893,Part-time job experience only,7 years or more
Sai Kung (inc. Tseung Kwan O),N/A,90,0,0,0,5,5,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,Less than 60 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116030,No experience at all,7 years or more
Eastern,N/A,100,0,0,0,0,0,Yes,No,University education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116277,No experience at all,Since birth
Wong Tai Sin,N/A,50,40,0,0,10,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,Less than 60 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115139,Part-time job experience only,7 years or more
Kwun Tong,N/A,30,60,0,0,10,0,No,No,Post-secondary education,Secondary education/ Matriculation,"Under HK$10,000",5,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115142,Part-time job experience only,Since birth
Eastern,N/A,45,0,25,0,15,15,No,No,Secondary education/ Matriculation,Primary education,"HK$50,000 - HK$59,999",5,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,117093,Part-time job experience only,Since birth
Tai Po,Chinese,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,"HK$10,000 - HK$19,999",6,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115447,No experience at all,Since birth
,,0,0,0,0,0,0,,,N/A,N/A,,,,1,N/A,N/A,,23/12/2020 12:00:00 AM,2018,,115501,N/A,
Kwai Tsing,N/A,80,0,20,0,0,0,No,No,Primary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115503,Part-time job experience only,Since birth
Islands (inc. Tung Chung),Chinese,100,0,0,0,0,0,Yes,Yes,University education,University education,"HK$80,000 - HK$89,999",2,120 - 179 minutes,1,Chinese Mainland,Buddhist,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116250,Part-time job experience only,7 years or more
Southern,N/A,10,70,0,0,0,20,Yes,Yes,No formal education,Primary education,"HK$10,000 - HK$19,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,110569,Full-time job experience for less than one year,Since birth
Kowloon City,N/A,90,0,5,0,5,0,No,Yes,Primary education,Post-secondary education,"HK$70,000 - HK$79,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115080,Part-time job experience only,Since birth
Kwun Tong,Chinese,70,0,10,0,20,0,Yes,Yes,Primary education,Primary education,"HK$30,000 - HK$39,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115899,Part-time job experience only,Since birth
Tuen Mun,N/A,70,0,10,0,20,0,Yes,Yes,Secondary education/ Matriculation,Primary education,"HK$30,000 - HK$39,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115177,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,10,50,10,0,20,10,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115968,Part-time job experience only,Since birth
Sham Shui Po,N/A,60,0,20,0,10,10,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116240,No experience at all,Since birth
Sha Tin,N/A,90,0,0,0,10,0,Yes,Yes,University education,Secondary education/ Matriculation,"HK$50,000 - HK$59,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116130,Part-time job experience only,Since birth
Wong Tai Sin,Chinese,74,0,20,0,0,6,Yes,Yes,University education,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,32771,Part-time job experience only,Since birth
Eastern,N/A,30,0,20,0,50,0,Yes,Yes,University education,University education,"HK$60,000 - HK$69,999",5,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),32781,Part-time job experience only,Since birth
Southern,N/A,60,20,15,0,5,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$40,000 - HK$49,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115135,Part-time job experience only,Since birth
Kwai Tsing,N/A,99,0,0,0,1,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,116073,Full-time job experience for less than one year,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,90,0,5,0,5,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,116566,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,0,0,0,0,0,100,No,Yes,University education,Secondary education/ Matriculation,"HK$50,000 - HK$59,999",3,Less than 60 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115553,Part-time job experience only,Since birth
Sha Tin,N/A,100,0,0,0,0,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116029,No experience at all,Since birth
Sha Tin,N/A,80,0,10,0,0,10,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",4,60 - 119 minutes,1,VENEZUELA,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),114997,Part-time job experience only,7 years or more
Sham Shui Po,N/A,30,10,30,0,30,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115931,Part-time job experience only,Since birth
Central & Western,N/A,70,0,20,0,10,0,Yes,Yes,Post-secondary education,University education,Not applicable,4,120 - 179 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),103727,Full-time job experience for less than one year,7 years or more
Central & Western,Chinese,90,0,10,0,0,0,Yes,Yes,University education,University education,"HK$70,000 - HK$79,999",3,60 - 119 minutes,1,HK,Catholic,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115651,Part-time job experience only,Since birth
Tsuen Wan,N/A,50,0,0,0,50,0,Yes,Yes,Secondary education/ Matriculation,Primary education,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115761,Part-time job experience only,7 years or more
Yuen Long (inc. Tin Shui Wai),N/A,60,0,0,0,40,0,Yes,Yes,Primary education,Secondary education/ Matriculation,Not applicable,3,120 - 179 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115764,Part-time job experience only,7 years or more
Wong Tai Sin,N/A,50,40,0,0,10,0,Yes,Yes,Secondary education/ Matriculation,No formal education,"HK$20,000 - HK$29,999",5,Less than 60 minutes,1,Macau,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115884,No experience at all,7 years or more
Central & Western,N/A,100,0,0,0,0,0,Yes,Yes,No formal education,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116008,No experience at all,Since birth
Yuen Long (inc. Tin Shui Wai),Chinese,70,0,20,0,10,0,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116009,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),Chinese,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116011,Part-time job experience only,Since birth
Sham Shui Po,Chinese,60,0,10,0,10,20,Yes,Yes,University education,University education,"HK$100,000 or above",5,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115112,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,20,20,20,0,20,20,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115927,Part-time job experience only,Since birth
Kwai Tsing,N/A,60,20,12,0,5,3,Yes,Yes,Secondary education/ Matriculation,Primary education,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116320,Part-time job experience only,3 to less than 7 years
Sham Shui Po,Chinese,30,0,60,0,10,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",5,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society sale flats (other than Home Ownership Scheme flats),110313,Full-time job experience for less than one year,Since birth
Sha Tin,Chinese,20,60,10,0,10,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,4,120 - 179 minutes,1,HK,asiagodtone,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115001,No experience at all,Since birth
,,0,0,0,0,0,0,,,N/A,N/A,,,,1,N/A,N/A,,23/12/2020 12:00:00 AM,2018,,115206,N/A,
Tuen Mun,N/A,70,0,10,0,10,10,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",2,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115694,Part-time job experience only,Since birth
Yau Tsim Mong,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",2,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116272,No experience at all,Since birth
Southern,N/A,90,0,2,0,8,0,Yes,Yes,University education,University education,"HK$100,000 or above",4,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),104039,Full-time job experience for less than one year,7 years or more
Tuen Mun,N/A,80,0,20,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$50,000 - HK$59,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),106836,Part-time job experience only,Since birth
Tsuen Wan,N/A,50,0,25,0,25,0,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,"HK$50,000 - HK$59,999",4,60 - 119 minutes,1,HK,Traditional Chinese Religion,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110368,Full-time job experience for more than one year,Since birth
Sha Tin,N/A,70,0,30,0,0,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$50,000 - HK$59,999",5,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,116538,Part-time job experience only,7 years or more
Kowloon City,N/A,100,0,0,0,0,0,Yes,Yes,Primary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",3,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,110337,Full-time job experience for less than one year,7 years or more
Sham Shui Po,N/A,80,0,10,0,10,0,Yes,Yes,Primary education,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",3,120 - 179 minutes,1,Chinese Mainland,Traditional Chinese Religion,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115366,Part-time job experience only,7 years or more
Wong Tai Sin,Chinese,100,0,0,0,0,0,Yes,Yes,Post-secondary education,Post-secondary education,Not applicable,3,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116423,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,50,0,50,0,0,0,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,5,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115873,Part-time job experience only,Since birth
Kwun Tong,Chinese,2.5,47.5,2.5,0,2.5,45,No,No,Post-secondary education,Primary education,"HK$10,000 - HK$19,999",5,Less than 60 minutes,1,HK,Sleep,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115390,No experience at all,Since birth
Kwai Tsing,N/A,1,99,0,0,0,0,No,Yes,Primary education,Secondary education/ Matriculation,"Under HK$10,000",3,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115425,Part-time job experience only,Since birth
Kwun Tong,N/A,80,0,10,0,10,0,Yes,Yes,Secondary education/ Matriculation,University education,"HK$100,000 or above",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115482,Part-time job experience only,Since birth
Sha Tin,Chinese,60,0,10,0,10,20,Yes,Yes,University education,Post-secondary education,"Under HK$10,000",4,More than 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115556,Part-time job experience only,Since birth
Kwai Tsing,Chinese,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$40,000 - HK$49,999",5,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115558,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,20,0,20,0,10,50,Yes,Yes,Primary education,Secondary education/ Matriculation,"HK$40,000 - HK$49,999",3,120 - 179 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115644,Part-time job experience only,Since birth
Tai Po,N/A,95,0,0,0,5,0,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,7,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116223,No experience at all,Since birth
Southern,N/A,100,0,0,0,0,0,Yes,No,Primary education,Primary education,"HK$20,000 - HK$29,999",3,More than 240 minutes,1,Chinese Mainland,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,110306,Part-time job experience only,7 years or more
Sha Tin,Chinese,30,0,30,0,20,20,No,No,Secondary education/ Matriculation,Primary education,"HK$10,000 - HK$19,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115051,Part-time job experience only,less than 3 years
Tuen Mun,Chinese,70,0,0,0,30,0,No,No,Primary education,Post-secondary education,"HK$10,000 - HK$19,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115429,Part-time job experience only,Since birth
Tai Po,N/A,10,40,20,0,25,5,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,"HK$30,000 - HK$39,999",8,120 - 179 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115430,Part-time job experience only,3 to less than 7 years
Tuen Mun,N/A,20,20,20,0,20,20,Yes,Yes,University education,Post-secondary education,Not applicable,4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116351,Part-time job experience only,Since birth
Kowloon City,Korean,12.5,75,0,0,0,12.5,Yes,Yes,University education,University education,"HK$60,000 - HK$69,999",3,120 - 179 minutes,1,S. Korea,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),103629,Part-time job experience only,7 years or more
